_id,licensee_name,licence_number,premises_address,grade,demerit_points,suspension_start_date,suspension_end_date
28,FRIENDS CATERING SERVICES PTE. LTD.,SW15925N000,20 BUKIT BATOK CRESCENT #13-01 ENTERPRISE CENTRE SINGAPORE 658080,A,na,na,na
29,MOON RIVER INTERNATIONAL PTE. LTD.,SW15534N000,4008 DEPOT LANE #01-92 SINGAPORE 109762,B,na,na,na
30,PURPLE SAGE GROUP PTE. LTD.,SW15530A000,157 PANDAN LOOP SINGAPORE 128355,B,na,na,na
31,CAFE GALILEE PTE. LTD.,SW15043V000,20 CHIN BEE ROAD #01-03 SINGAPORE 619828,B,4,na,na
32,LIM KWEE HIN,SW14862X000,15 JALAN TEPONG #03-19 JURONG FOOD HUB SINGAPORE 619336,B,0,na,na
33,786 BANGALIANA PTE. LTD.,SW14795E000,177 PANDAN LOOP UNIT 3 (PART OF) SINGAPORE 128460,B,na,2016-02-21,2016-03-05
34,933 PTE. LTD.,SW14740N000,15 JALAN TEPONG #02-02 JURONG FOOD HUB SINGAPORE 619336,B,na,na,na
35,RASEL CATERING SINGAPORE PTE. LTD.,SW14722X000,253 PANDAN LOOP SINGAPORE 128432,A,6,na,na
36,TIM'S FINE CATERING SERVICES PTE. LTD.,SW14311C000,143 PANDAN LOOP (PART OF) UNIT A -KITCHEN 2 SINGAPORE 128454,A,na,na,na
37,ELSIE'S KITCHEN CATERING SERVICES PTE. LTD,SW14145X000,21 SECOND CHIN BEE ROAD (PART OF) SINGAPORE 618780,A,na,na,na
38,CATERING SOLUTIONS PTE. LTD.,SW14015N000,80 TUAS SOUTH BOULEVARD ANNEX BLOCK 4 (1ST STOREY) DORMITORY COMPOUND SINGAPORE 637051,A,na,na,na
39,THREE BOND JING HUA PTE. LTD.,SW13W58E000,20 BUKIT BATOK CRESCENT #11-24 ENTERPRISE CENTRE (UNIT A) -PART OF SINGAPORE 658080,B,na,na,na
40,THOMSON CATERING PTE. LTD.,SW13T95N000,15 JALAN TEPONG #06-11 JURONG FOOD HUB SINGAPORE 619336,A,na,na,na
41,SHEREEN'S KITCHEN (SK) PTE. LTD,SW13T41V000,20 BUKIT BATOK CRESCENT #11-24 (PART OF) UNIT D ENTERPRISE CENTRE SINGAPORE 658080,B,na,na,na
42,UFS FOOD INDUSTRIES PTE. LTD.,SW13143J000,177 PANDAN LOOP (PART OF) SINGAPORE 128460,B,na,na,na
43,STERLING TRENDS & CONCEPTS PTE. LTD.,SW12O40P000,230 PANDAN LOOP #01-03 SINGAPORE 128415,B,na,na,na
44,CITYVIEW PLACE HOLDINGS PTE LTD,SW12K26N000,21 OCEAN WAY W SINGAPORE SENTOSA COVE SECOND STOREY (BALLROOM) SINGAPORE 098374,na,na,na,na
45,ERRAWATY BINTE WAHID,SW12F51V000,145 PANDAN LOOP UNIT D PART OF SINGAPORE 128455,A,na,na,na
46,MAA TRADING PTE LTD,SW12F50A000,145 PANDAN LOOP (PART OF) UNIT C SINGAPORE 128455,B,na,na,na
47,QILE PTE. LTD.,SW11485J000,10 TUAS BAY WALK #01-08 SINGAPORE 637780,B,4,na,na
48,SHIRAZ FNB PTE. LTD.,SW11404V000,15 JALAN TEPONG #01-05 JURONG FOOD HUB SINGAPORE 619336,A,na,na,na
49,TAN CHEE HOON,SW11370E000,10 TUAS BAY WALK #02-12 SINGAPORE 637780,B,na,na,na
50,THOMSON CATERING PTE. LTD.,SW10902B000,15 JALAN TEPONG #06-10 JURONG FOOD HUB SINGAPORE 619336,A,na,na,na
51,BOTAK JOE CENTER KITCHEN PTE. LTD.,SW10744P000,20 BUKIT BATOK CRESCENT #13-03A ENTERPRISE CENTRE - UNIT A SINGAPORE 658080,na,na,na,na
52,SEMMY'S CATERING PTE. LTD.,SW10731C000,15 JALAN TEPONG #04-17 JURONG FOOD HUB SINGAPORE 619336,B,na,na,na
53,I'S-POT CUISINE PTE. LTD.,SW10309B000,20 BUKIT BATOK CRESCENT #11-02 ENTERPRISE CENTRE SINGAPORE 658080,B,na,na,na
54,RESORTS WORLD AT SENTOSA PTE. LTD.,SW09786A000,8 SENTOSA GATEWAY HARD ROCK HOTEL LEVEL B2 (BALLROOM) SINGAPORE 098269,A,na,na,na
55,S&S UNITED FOOD SERVICES PTE. LTD.,SW09618J000,10 TUAS BAY WALK #02-24 SINGAPORE 637780,B,na,na,na
56,Haliza Binti Halid,SW09250K000,52 INTERNATIONAL ROAD #02-11/12 SINGAPORE 619626,A,na,na,na
57,PERIASAMY KALIMUTHU,SW09140V000,52 INTERNATIONAL ROAD #02-13 SINGAPORE 619626,B,na,na,na
58,CONTINENTAL DELIGHT CATERING SERVICES PTE. LTD.,SW08811X000,21 SECOND CHIN BEE ROAD SINGAPORE 618780,A,na,na,na
59,RICHFOOD CATERING PTE. LTD.,SW08497V000,20 BUKIT BATOK CRESCENT #13-03 (UNIT B) ENTERPRISE CENTRE SINGAPORE 658080,B,na,na,na
60,BBE.SG PTE. LTD,SW08140E000,143 PANDAN LOOP (PART OF) UNIT C SINGAPORE 128454,A,na,na,na
61,SENTOSA LEISURE MANAGEMENT PTE LTD,SW07614K000,35 ARTILLERY AVENUE #01-05 SENTOSA SINGAPORE 099956,A,na,na,na
62,RASHIDA EATING HOUSE (S) PTE. LTD.,SW06367K000,6 TUAS BAY WALK #02-10 BCT BUILDING SINGAPORE 637752,C,na,na,na
63,MA TRADING & FOOD PTE. LTD.,SW06185X000,143 PANDAN LOOP UNIT B (PART OF) SINGAPORE 128454,na,na,na,na
64,TIM'S GOURMET CATERING PRIVATE LIMITED,SW06093B000,143 PANDAN LOOP UNIT A (PART OF) - KITCHEN 1 SINGAPORE 128454,B,na,na,na
65,FUS'ZIN PALATE CATERING PTE LTD,SW05121N000,20 BUKIT BATOK CRESCENT #13-21 ENTERPRISE CENTRE SINGAPORE 658080,A,na,na,na
66,DHANU SHRI RESTAURANT & CATERING PTE. LTD.,SW04063J000,71 QUALITY ROAD (PART OF) SINGAPORE 618823,na,na,na,na
67,THE GRANARY PTE. LTD.,SE16186K000,5 BURN ROAD #05-01 TEE YIH JIA FOOD BUILDING SINGAPORE 369972,na,na,na,na
68,HAIG ROAD PUTU PIRING PTE. LTD.,SE16060N000,3017 BEDOK NORTH STREET 5 #02-01 GOURMET EAST KITCHEN SINGAPORE 486121,na,na,na,na
69,MANNA POT CATERING PTE. LTD.,SE15524A000,3015 BEDOK NORTH STREET 5 #06-16\17 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
70,HEZOM FOODS (PTE.) LTD.,SE14C37A000,3020 UBI AVENUE 2 #04-115 SINGAPORE 408896,B,na,na,na
71,PUAN KENG HOON,SE14888B000,3020 UBI AVENUE 2 #04-101 SINGAPORE 408896,B,na,na,na
72,TEAM CATERING PTE. LTD.,SE14650V000,3015 BEDOK NORTH STREET 5 #01-01 SHIMEI EAST KITCHEN SINGAPORE 486350,B,4,na,na
73,SPORTS CATERING SERVICES PTE. LTD.,SE14320E000,1 STADIUM DRIVE CENTRAL PRODUCTION UNIT SINGAPORE 397629,A,na,na,na
74,CURRY POT CATERING PTE. LTD.,SE14273J000,5 HARRISON ROAD #03-02 YAN XIAN BUILDING SINGAPORE 369645,B,na,na,na
75,DELIZIO CATERING PTE. LTD.,SE14222J000,5 BURN ROAD #03-01 TEE YIH JIA FOOD BUILDING SINGAPORE 369972,A,na,na,na
76,HUNGRY BBQ PRIVATE LIMITED,SE14179B000,1012 ALJUNIED AVENUE 3 #01-27 SINGAPORE 389935,A,na,na,na
77,TAN CHING HAI,SE14021A000,3020 UBI AVENUE 2 #01-109 SINGAPORE 408896,B,6,na,na
78,FOUR SEASONS CATERING PTE LTD,SE13V46B000,171 KAMPONG AMPAT #05-07 KA FOODLINK SINGAPORE 368330,A,na,na,na
79,QI JI PTE LTD,SE13T20L000,171 KAMPONG AMPAT #04-11 KA FOODLINK SINGAPORE 368330,B,na,na,na
80,CHILLI PADI NONYA RESTAURANT PTE. LTD.,SE13S52B000,3015 BEDOK NORTH STREET 5 #05-27 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
81,TAM KAH SHARK'S FIN PTE. LTD.,SE13R76N000,1008 ALJUNIED AVENUE 4 #01-33 SINGAPORE 389909,B,4,na,na
82,TAN TAI ZHENG,SE13216L000,171 KAMPONG AMPAT #02-02 KA FOODLINK SINGAPORE 368330,A,na,na,na
83,GLORY RESTAURANT & CATERING PTE. LTD.,SE13124X000,1010 ALJUNIED AVENUE 4 #01-16 SINGAPORE 389911,B,na,na,na
84,SPICE VILLAGE CATERING PTE. LTD.,SE13009A000,3015 BEDOK NORTH STREET 5 #02-03 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
85,NOSH CUISINE PTE. LTD.,SE12O16V000,171 KAMPONG AMPAT #06-10 KA FOODLINK SINGAPORE 368330,B,10,na,na
86,OR CHEE YONG,SE12M63X000,1007 ALJUNIED AVENUE 4 #01-15 SINGAPORE 389908,B,na,na,na
87,LEE BEE KIEN,SE12K44N000,3017 BEDOK NORTH STREET 5 #06-21 GOURMET EAST KITCHEN SINGAPORE 486121,B,na,na,na
88,TUNG LOK MILLENNIUM PTE LTD,SE12K16A000,1 EXPO DRIVE #02-05 MAX ATRIA @ SINGAPORE EXPO SINGAPORE 486150,A,na,na,na
89,KAY FIERY HOLDINGS PTE. LTD.,SE12J77B000,3020 UBI AVENUE 2 #04-131 SINGAPORE 408896,B,na,na,na
90,EATZ CATERING SERVICES PTE. LTD.,SE12I20V000,3017 BEDOK NORTH STREET 5 #01-02 GOURMET EAST KITCHEN SINGAPORE 486121,B,4,na,na
91,CATERING CULTURE PTE. LTD.,SE11426L000,3017 BEDOK NORTH STREET 5 #01-12 GOURMET EAST KITCHEN SINGAPORE 486121,B,na,na,na
92,FORTE ( F&B ) PTE. LTD.,SE11380E000,3015 BEDOK NORTH STREET 5 #06-23 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
93,SRM RESTAURANT & CATERING SERVICES PTE. LTD.,SE11011E000,1012 ALJUNIED AVENUE 3 #01-41 SINGAPORE 389935,B,10,2016-04-13,2016-04-26
94,THE CATERERS PTE LTD,SE10480A000,1010 ALJUNIED AVENUE 4 #01-02 SINGAPORE 389911,B,na,na,na
95,SINGAPORE CORPORATION OF REHABILITATIVE ENTERPRISES,SE10333E000,982C UPPER CHANGI ROAD NORTH BLK B3 SINGAPORE 506980,A,na,na,na
96,KONEKO LLP,SE10247A000,3020 UBI AVENUE 2 #03-123 SINGAPORE 408896,A,na,na,na
97,QILIN CATERING PTE. LTD.,SE10236E000,1012 ALJUNIED AVENUE 3 #01-35 SINGAPORE 389935,B,na,na,na
98,GOH WEE LIAM,SE10117X000,3017 BEDOK NORTH STREET 5 #03-28 GOURMET EAST KITCHEN SINGAPORE 486121,B,na,na,na
99,SRISUN PRATA . COM FOOD HOLDING'S PTE. LTD.,SE09740K000,3020 UBI AVENUE 2 #01-105 SINGAPORE 408896,B,na,na,na
100,CHEONG LOK FOOD MARKETING PTE. LTD.,SE09697C000,3015 BEDOK NORTH STREET 5 #06-04 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
101,F C CATERING PTE. LTD.,SE09683P000,3015 BEDOK NORTH STREET 5 #06-09 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
102,CHIN CHEE LEONG,SE09607X000,3020 UBI AVENUE 2 #03-137 SINGAPORE 408896,B,na,na,na
103,THE SHEPHERD'S PIE LLP,SE09222A000,3015 BEDOK NORTH STREET 5 #06-05 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
104,SINGAPORE NUTRI-DIET INDUSTRIES PTE.LTD.,SE09138L000,3017 BEDOK NORTH STREET 5 #06-03 GOURMET EAST KITCHEN SINGAPORE 486121,B,na,na,na
105,THE MASALA HUT PRIVATE LIMITED,SE08451J000,3015 BEDOK NORTH STREET 5 #05-16 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
106,PASUMPON RESTAURANT & CATERING PTE. LTD.,SE08382A000,1009 ALJUNIED AVENUE 4 #01-22 SINGAPORE 389910,C,na,na,na
107,K G CATERING PTE. LTD,SE08322B000,171 KAMPONG AMPAT #06-03 KA FOODLINK SINGAPORE 368330,B,4,na,na
108,RONG YI KEE PTE. LTD.,SE08220L000,1010 ALJUNIED AVENUE 4 #01-12 SINGAPORE 389911,B,na,na,na
109,GOLDAZ CATERING PTE LTD,SE08170V000,1009 ALJUNIED AVENUE 4 #01-24 SINGAPORE 389910,B,10,na,na
110,SINGAPORE CORPORATION OF REHABILITATIVE ENTERPRISES,SE08168J000,982C UPPER CHANGI ROAD NORTH SINGAPORE 506980,A,na,na,na
111,AM CHEF CATERING PTE.LTD.,SE07842P000,1008 ALJUNIED AVENUE 4 #01-27 SINGAPORE 389909,B,na,na,na
112,MODERN FEASTS PTE. LTD.,SE07723E000,3015 BEDOK NORTH STREET 5 #05-18 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
113,CREATIVE EATERIES EXPO PTE LTD,SE07543K000,1 EXPO DRIVE #01-07A SINGAPORE EXPO SINGAPORE 486150,A,na,na,na
114,SMILING ORCHID (SINGAPORE) PRIVATE LIMITED,SE07495N000,171 KAMPONG AMPAT #02-03 KA FOODLINK SINGAPORE 368330,B,6,2015-11-08,2015-11-21
115,TAN HNG KHIN,SE07461L000,171 KAMPONG AMPAT #04-14 KA FOODLINK SINGAPORE 368330,A,6,na,na
116,NOORJAHAN BTE ALAUDIN,SE07068A000,1011 ALJUNIED AVENUE 3 #01-19 SINGAPORE 389934,C,na,na,na
117,ORCHID THAI PTE. LTD.,SE06674V000,1007 ALJUNIED AVENUE 4 #01-11 SINGAPORE 389908,B,na,na,na
118,MEGU CATERING CONCEPTS PTE. LTD.,SE06631V000,171 KAMPONG AMPAT #06-04 KA FOODLINK SINGAPORE 368330,B,na,na,na
119,TEO HENG WAH,SE06530E000,3015 BEDOK NORTH STREET 5 #04-03 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
120,KATE'S FOOD SUPPLIES PTE LTD,SE06409E000,171 KAMPONG AMPAT #04-04 KA FOODLINK SINGAPORE 368330,B,na,na,na
121,CHENNAI PONNUSAMY HOTEL & RESTAURANT PTE. LTD.,SE06404P000,1005 ALJUNIED AVENUE 5 #01-40 SINGAPORE 389886,B,6,na,na
122,STYLZE CATERING PTE. LTD.,SE05318X000,3017 BEDOK NORTH STREET 5 #02-34 GOURMET EAST KITCHEN SINGAPORE 486121,A,6,na,na
123,ABDUL RAJAK BIN AHMAD,SE05237X000,3015 BEDOK NORTH STREET 5 #05-06 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
124,ZAINUDDIN BIN SAJAT,SE05230K000,3020 UBI AVENUE 2 #04-119 SINGAPORE 408896,B,na,na,na
125,HJ. MAIMUNAH MANUFACTURING AND CATERING PTE. LTD.,SE05053J000,3017 BEDOK NORTH STREET 5 #04-08 SINGAPORE 486121,B,na,na,na
126,GUSTOS PTE. LTD.,SE04248V000,171 KAMPONG AMPAT #05-08 KA FOODLINK SINGAPORE 368330,A,na,na,na
127,ANGEL'S RESTAURANT PTE LTD,SE04163E000,3017 BEDOK NORTH STREET 5 #02-31 SINGAPORE 486121,B,na,na,na
128,HENG AIK HUA,SE04139E000,3017 BEDOK NORTH STREET 5 #02-27 GOURMET EAST KITCHEN SINGAPORE 486121,B,na,na,na
129,SEAFOOD PARK PTE. LTD.,SE04125X000,3017 BEDOK NORTH STREET 5 #01-06 SINGAPORE 486121,B,na,na,na
130,TAN HUNY,SE04119N000,3017 BEDOK NORTH STREET 5 #02-13 SINGAPORE 486121,B,na,na,na
131,KCK FOOD CATERING PTE. LTD.,SE04103J000,3017 BEDOK NORTH STREET 5 #04-22 SINGAPORE 486121,B,na,2015-06-11,2015-06-24
132,FIRST CUISINE CATERING PTE. LTD.,SE04051V000,3015 BEDOK NORTH STREET 5 #06-20 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
