_id,licensee_name,licence_number,premises_address,grade,demerit_points,suspension_start_date,suspension_end_date
3468,VONS DESSERT PTE. LTD.,SW15525P000,321 CLEMENTI AVENUE 3 #03-02 (321 CLEMENTI) SINGAPORE 129905,A,na,na,na
3469,THOMSON CATERING & ENTERPRISES PTE LTD,SW15520C000,100 JURONG ISLAND HIGHWAY AURORA EOS PROJECT@AREA 25 SINGAPORE 627867,na,na,na,na
3470,THREE STAR SUPERMARKET PTE. LTD,SW15510J000,SUNGEI KADUT INDUSTRIAL ESTATE (SG KADUT WAY/ST 2/LOOP/KRANJI LINK),na,na,na,na
3471,SONG HUAT CATERING & SUPPLIER PTE LTD,SW15507V000,20 JURONG WEST STREET 93 #02-17 JURONG WEST SPORT CENTRE SINGAPORE 648965,A,na,na,na
3472,JUSHINJUNG SAMGAETANG PTE. LTD.,SW15506A000,1 JALAN ANAK BUKIT #01-CA2 BUKIT TIMAH PLAZA SINGAPORE 588996,A,na,na,na
3473,WILIKE FOOD PTE. LTD,SW15505B000,144 UPPER BUKIT TIMAH ROAD #B1-K20 BEAUTY WORLD CENTRE SINGAPORE 588177,A,6,na,na
3474,KOUFU PTE LTD,SW15336A000,204 CHOA CHU KANG AVENUE 1 #01-29 SINGAPORE 680204,A,na,na,na
3475,GO SUSHI PTE. LTD.,SW15166A000,2 JURONG EAST STREET 21 #02-64 IMM BUILDING SINGAPORE 609601,A,na,na,na
3476,FIRST KT HOLDINGS PTE. LTD.,SW15164C000,1 FUSIONOPOLIS PLACE #01-15 GALAXIS SINGAPORE 138522,A,na,na,na
3477,TAMERTON PTE. LTD.,SW15162J000,2 TOWN HALL LINK #B1-01 /#01-01 GENTING HOTEL JURONG SINGAPORE 608516,A,na,na,na
3478,TAMERTON PTE. LTD.,SW15161K000,2 TOWN HALL LINK #01-08 GENTING HOTEL JURONG SINGAPORE 608516,A,na,na,na
3479,ISETAN (SINGAPORE) LIMITED?,SW15160L000,3 GATEWAY DRIVE #B2-01 PART OF ISETAN SUPERMARKET WESTGATE SINGAPORE 608532,A,na,na,na
3480,BREAD YARD LLP,SW15159V000,1 FUSIONOPOLIS PLACE #01-23/24 GALAXIS SINGAPORE 138522,A,na,na,na
3481,UNCLE HO PTE. LTD,SW15082E000,100 PASIR PANJANG ROAD #01-04 (100 PASIR PANJANG) SINGAPORE 118518,A,na,na,na
3482,MINOR FOOD GROUP (SINGAPORE) PTE. LTD.,SW15080K000,321 CLEMENTI AVENUE 3 #02-10 (321 CLEMENTI) SINGAPORE 129905,A,na,na,na
3483,RAINFOREST CULINARY PTE. LTD.,SW15079X000,3 FUSIONOPOLIS PLACE #01-50 GALAXIS SINGAPORE 138523,A,na,na,na
3484,CHUA CHEE KEONG,SW15077A000,23 TUAS SOUTH AVENUE 6 LOT 04784T MK 07 SINGAPORE 637022,na,na,na,na
3485,THE DAILY CUT PTE. LTD.,SW15071L000,1 FUSIONOPOLIS PLACE #01-28/29 GALAXIS SINGAPORE 138522,A,na,na,na
3486,FOUR SEASONS MANAGEMENT PTE. LTD.,SW15062N000,1 AYER RAJAH AVENUE 6th STOREY - INSEAD SINGAPORE 138676,A,na,na,na
3487,WINIFRED KRISTE CAKE LLP,SW15060X000,271 BUKIT BATOK EAST AVENUE 4 #01-140 (PART OF - RIGHT UNIT) SINGAPORE 650271,na,na,na,na
3488,EIGHTEEN CHEFS PTE. LTD.,SW15036X000,2 JURONG EAST CENTRAL 1 #02-13 JCUBE SINGAPORE 609731,A,na,na,na
3489,TEN & HAN TRADING PTE LTD,SW15029P000,1 JOO KOON CIRCLE #01-35 FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3490,DIMBULAH COFFEE (S) PTE LTD,SW15016C000,1 HARBOURFRONT AVENUE #01-06 KEPPEL BAY TOWER SINGAPORE 098632,A,na,na,na
3491,ONG CHEE HUI (WANG ZHIHUI),SW15011N000,4 HILLVIEW RISE #02-09 HILL V2 SINGAPORE 667979,A,na,na,na
3492,BIG BOX SINGAPORE PTE. LTD.,SW15006J000,1 VENTURE AVENUE #01-K05 BIG BOX SINGAPORE 608521,na,na,na,na
3493,PENYET KING PTE. LTD.,SW15004L000,1 VENTURE AVENUE #03-K6 BIG BOX (MR 5) SINGAPORE 608521,A,na,na,na
3494,BIG BOX SINGAPORE PTE. LTD.,SW15003N000,1 VENTURE AVENUE #03-K2 BIG BOX (MR 1) SINGAPORE 608521,A,na,na,na
3495,FLY SPORTS (TRAMPOLINE) PTE. LTD.,SW14B54A000,200 PANDAN GARDENS #01-14 (PART OF) SINGAPORE 609336,B,na,na,na
3496,NEKKID PRIVATE LIMITED,SW14B52C000,39 MALAN ROAD #01-08/09 GILLMAN BARRACKS SINGAPORE 109442,A,na,na,na
3497,CAFFEINATION PTE. LTD.,SW14B50J000,60 JURONG WEST STREET 91 #01-04 NANYANG COMMUNITY CLUB SINGAPORE 649040,A,na,na,na
3498,BIG BOX SINGAPORE PTE. LTD.,SW14B22P000,1 VENTURE AVENUE #03-K9 BIG BOX (MR 8) SINGAPORE 608521,na,na,na,na
3499,ALVIN SABAI,SW14B21X000,6 BOON LAY AVENUE 1ST STOREY BLK A RIVER VALLEY HIGH SCHOOL SINGAPORE 649961,A,na,na,na
3500,BIG BOX SINGAPORE PTE. LTD.,SW14B11A000,1 VENTURE AVENUE #01-K1 BIG BOX SINGAPORE 608521,A,na,na,na
3501,HOKI HOKI ASIA PACIFIC PTE. LTD.,SW14B09K000,1 VENTURE AVENUE #03-K1 BIG BOX (MR 9) SINGAPORE 608521,B,na,na,na
3502,WGL YOGURT PTE. LTD.,SW14B05X000,3 GATEWAY DRIVE #03-02 WESTGATE SINGAPORE 608532,A,na,na,na
3503,BIG BOX SINGAPORE PTE. LTD.,SW14A87K000,1 VENTURE AVENUE #03-K8 BIG BOX (MR 7) SINGAPORE 608521,A,na,na,na
3504,ARTS DISTILLERY PTE LTD,SW14A77N000,21 MEDIA CIRCLE #01-01 INFINITE STUDIOS SINGAPORE 138562,A,na,na,na
3505,LGCY TRADING (SINGAPORE) PTE. LTD.,SW14A68P000,1 FUSIONOPOLIS PLACE #01-35/36 GALAXIS SINGAPORE 138522,A,na,na,na
3506,HONG HAICHENG,SW14A65A000,1 VENTURE AVENUE #03-K3 BIG BOX SINGAPORE 608521,A,na,na,na
3507,HAO KOU WEI PTE. LTD.,SW14A64B000,1 VENTURE AVENUE #01-K4 BIG BOX SINGAPORE 608521,A,na,na,na
3508,ONG KAH TONG,SW14A63C000,1 VENTURE AVENUE #03-K4 BIG BOX SINGAPORE 608521,B,na,na,na
3509,LYNDAN HOLDINGS PTE. LTD.,SW14A56B000,45 SILOSO BEACH WALK (part of) SKYLINE LUGE SENTOSA SINGAPORE 099003,A,na,na,na
3510,PARTY WORLD HOME KTV PTE. LTD,SW14A52K000,2 BUKIT BATOK WEST AVENUE 7 #03-01 HomeTeamNS BUKIT BATOK CLUBHOUSE SINGAPORE 659003,na,na,na,na
3511,CHEERS HOLDINGS (2004) PTE. LTD.,SW14A50N000,1 JOO KOON CIRCLE #02-25 FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3512,FRAGRANCE FOODSTUFF PTE LTD,SW14A31V000,1 JOO KOON CIRCLE #01-37 FAIRPRICE HUB SINGAPORE 629117,na,na,na,na
3513,EW CINEMAS PTE. LTD.,SW14A28K000,321 CLEMENTI AVENUE 3 #03-03 EW CINEMAS 321 CLEMENTI SINGAPORE 129905,A,na,na,na
3514,LOUISIANA QSR PTE. LTD.,SW14A27L000,1 JOO KOON CIRCLE #01-50 FAIRPRICE HUB SINGAPORE 629117,B,na,na,na
3515,JT PREMIER FPH PTE. LTD,SW14A26N000,1 JOO KOON CIRCLE #01-49 FAIRPRICE HUB SINGAPORE 629117,A,6,na,na
3516,SHI FU FOOD COURT PTE. LTD.,SW14A25P000,1 TUAS VIEW PLACE #01-18 WESTLINK ONE SINGAPORE 637433,na,na,na,na
3517,RESORTS WORLD AT SENTOSA PTE. LTD.,SW14A18N000,26 SENTOSA GATEWAY #02-135/135A RESORTS WORLD SENTOSA SINGAPORE 098138,A,na,na,na
3518,SUTL MARINA DEVELOPMENT PTE. LTD.,SW14A14A000,11 COVE DRIVE #01-01 ONE 15 MARINA CLUB SENTOSA SINGAPORE 098497,na,na,na,na
3519,HAN'S CAFE & CAKE HOUSE PTE. LTD.,SW14A09P000,1 JOO KOON CIRCLE #02-26/27/28 FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3520,YUMMI HOUSE PTE. LTD.,SW14A06A000,3155 COMMONWEALTH AVENUE WEST #B1-K15 THE CLEMENTI MALL SINGAPORE 129588,A,na,na,na
3521,BURGER KING SINGAPORE PTE. LTD.,SW14A03E000,1 JOO KOON CIRCLE #01-51 FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3522,FOOD GLOBAL PTE. LTD.,SW14A02J000,1 VENTURE AVENUE #02-19 BIG BOX SINGAPORE 608521,A,na,na,na
3523,ROYAL T GROUP PTE. LTD.,SW14995P000,1 JOO KOON CIRCLE #02-31 FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3524,MCDONALD'S RESTAURANTS PTE. LTD.,SW14989L000,1 JOO KOON CIRCLE #01-27/28/29/30/31 FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3525,KENTUCKY FRIED CHICKEN MANAGEMENT PTE LTD,SW14986X000,1 JOO KOON CIRCLE #01-21/22/24/25/26 FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3526,VIVIAN CHAN HUI HUANG,SW14982C000,LOT 04741K MK 07 ATTUAS SOUTH STREET 13,na,na,na,na
3527,SPH BUZZ PTE. LTD.,SW14972J000,12 CLEMENTI ROAD (PART OF) SINGAPORE 129742,A,na,na,na
3528,YOGURT KENT RIDGE PTE. LTD.,SW14970L000,1 LOWER KENT RIDGE ROAD #01-37 ONE@KENTRIDGE SINGAPORE 119082,A,na,na,na
3529,COMMONWEALTH RETAIL CONCEPTS PTE. LTD.,SW14968A000,1 JOO KOON CIRCLE #01-42 & #01-47/48 FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3530,SONG FISH DEALER PTE LTD,SW14966C000,1 VISTA EXCHANGE GREEN #01-18 THE STAR SINGAPORE 138617,A,na,na,na
3531,THREE FRESH SUBS PTE. LTD.,SW14952P000,60 JURONG WEST STREET 91 #01-03 NANYANG COMMUNITY CLUB SINGAPORE 649040,A,na,na,na
3532,PEZZO SINGAPORE PTE. LTD.,SW14943X000,63 JURONG WEST CENTRAL 3 #01-30 JURONG POINT SINGAPORE 648331,B,na,na,na
3533,WAN LAI KUAN,SW14937N000,352 JURONG EAST STREET 31 #01-131 SINGAPORE 600352,A,na,na,na
3534,HO YEOK KHIAN,SW14928P000,COMMONWEALTH AVENUE WEST/CLEMENTI AVE 3 CLEMENTI N4 C10 SINGAPORE 120000,na,na,na,na
3535,SHOPPING BAG (S) PTE. LTD.,SW14925A000,1 HARBOURFRONT WALK PART OF #02-41/42 VIVO CITY SINGAPORE 098585,A,na,na,na
3536,AG WESTGATE PTE. LTD.,SW14924B000,3 GATEWAY DRIVE #03-08 WESTGATE SINGAPORE 608532,A,na,na,na
3537,BREADTALK PTE LTD,SW14923C000,1 JOO KOON CIRCLE #01-45/46 FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3538,KENTUCKY FRIED CHICKEN MANAGEMENT PTE LTD,SW14922E000,60 JURONG WEST STREET 91 #01-02 NANYANG COMMUNITY CLUB SINGAPORE 649040,A,na,na,na
3539,FOOD DS PTE. LTD.,SW14919X000,4 HILLVIEW RISE #01-11 HILLV2 SINGAPORE 667979,A,na,na,na
3540,BREADTALK PTE LTD,SW14916B000,1 JOO KOON CIRCLE #01-44 FAIRPRICE HUB SINGAPORE 629117,na,na,na,na
3541,CF BAKERY PTE. LTD.,SW14901P000,449 (PART OF)CLEMENTI AVENUE 3 #01-257 SINGAPORE 120449,na,na,na,na
3542,DELIJOY PTE. LTD.,SW14898P000,1 JOO KOON CIRCLE #02-32/33 FAIRPRICE HUB SINGAPORE 629117,A,6,na,na
3543,CY FOOD LLP,SW14897X000,150 NANYANG CRESCENT #02-36 BLK 17B CRESCENT HALL NTU SINGAPORE 637122,B,na,na,na
3544,AH HUAT DCT PTE. LTD.,SW14896V000,2 BUKIT BATOK WEST AVENUE 7 #01-09C HOMETEAM NS SINGAPORE 659003,A,na,na,na
3545,MILK AND HONEY GELATO PTE. LTD.,SW14893C000,2 BUKIT BATOK WEST AVENUE 7 #01-01/02/03 HOMETEAM NS SINGAPORE 659003,A,na,na,na
3546,NG CHOON CHUAN,SW14892E000,1 VISTA EXCHANGE GREEN #B1-40A THE STAR VISTA SINGAPORE 138617,na,na,na,na
3547,FOO TIANG ANN,SW14891J000,2 BUKIT BATOK WEST AVENUE 7 #02-05 HometeamNS Bukit Batok Clubhouse SINGAPORE 659003,A,8,na,na
3548,BIG BOX SINGAPORE PTE. LTD.,SW14890K000,1 VENTURE AVENUE #03-18 BIG BOX SINGAPORE 608521,na,na,na,na
3549,FIESTA LECHON PTE. LTD.,SW14886B000,1 VENTURE AVENUE #02-17 BIG BOX SINGAPORE 608521,na,na,na,na
3550,SELECT FOOD MANAGEMENT PTE LTD,SW14885C000,76 NANYANG DRIVE #02-01A BLK N2.1 NTU SINGAPORE 637331,na,na,na,na
3551,SODEXO SINGAPORE PTE. LTD.,SW14884E000,1 BENOI CRESENT FIRST STOREY SINGAPORE 629986,A,na,na,na
3552,TANG KOK WENG (DENG GUORONG),SW14879A000,70 PALAWAN BEACH WALK SENTOSA #01-02 (PART OF) SINGAPORE 099343,A,na,na,na
3553,JOLLIBEAN FOODS PTE. LTD.,SW14877C000,1 JOO KOON CIRCLE #02-30 FAIRPRICE HUB SINGAPORE 629117,A,na,2015-09-17,2015-09-30
3554,COMPOUND COFFEE CO. PTE. LTD.,SW14875J000,180 DEPOT ROAD #01-08 INTERLACE THE SINGAPORE 109684,A,na,na,na
3555,SF (TSV) PTE. LTD.,SW14871P000,1 VISTA EXCHANGE GREEN #B1-40 THE STAR VISTA SINGAPORE 138617,A,na,na,na
3556,JUZ BREAD HOLDING PTE. LTD.,SW14866K000,1 LOWER KENT RIDGE ROAD #01-17 ONE@KENTRIDGE SINGAPORE 119082,A,na,na,na
3557,RESTRANG PTE. LTD,SW14865L000,4 HILLVIEW RISE #01-09 HILLV2 SINGAPORE 667979,A,na,na,na
3558,ONTAP HOLDINGS PTE. LTD,SW14856N000,31 BUKIT BATOK CRESCENT #02-01 (MICROBREWERY) THE SPLENDOUR SINGAPORE 658070,A,na,na,na
3559,HOW WEI PTE. LTD.,SW14850C000,5 BUROH LANE SECOND STOREY SEJ FOOD HUB SINGAPORE 618289,B,na,na,na
3560,TETE-A-TETE ENTERPRISES PTE. LTD,SW14847P000,21 BIOPOLIS ROAD #01-01 NUCLEOS SINGAPORE 138567,A,na,na,na
3561,MINOR FOOD GROUP (SINGAPORE) PTE. LTD.,SW14844A000,1 JOO KOON CIRCLE #01-40 #01-43 & #01-46A FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3562,MINOR FOOD GROUP (SINGAPORE) PTE. LTD.,SW14842C000,1 JOO KOON CIRCLE #01-32/33/34 & #01-38 FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3563,ROYAL T GROUP PTE. LTD.,SW14827B000,50 BEACH VIEW #01-K9 SENTOSA BEACH STATION SINGAPORE 098604,A,na,na,na
3564,NORAIZA BINTE RAIS,SW14823K000,2 JURONG EAST CENTRAL 1 #02-70 JCUBE SINGAPORE 609731,na,na,na,na
3565,NG KIM KHIM,SW14820P000,271 BUKIT BATOK EAST AVENUE 4 #01-152 (PART OF) SINGAPORE 650271,A,na,na,na
3566,OUT OF THE CAKE BOX PTE. LTD.,SW14809E000,45 TELOK BLANGAH DRIVE #01-173 SINGAPORE 100045,na,na,na,na
3567,FEI SIONG FOOD MANAGEMENT PTE LTD,SW14806L000,3 GATEWAY DRIVE #B2-K13 WESTGATE SINGAPORE 608532,A,na,na,na
3568,BIGHOUSE PRIVATE LIMITED,SW14786J000,21 LORONG KILAT #01-02 SUN COURT SINGAPORE 598123,A,na,na,na
3569,LADYLORD LLP,SW14783N000,21 MEDIA CIRCLE #01-03 INFINITE STUDIOS SINGAPORE 138562,A,na,na,na
3570,NTUC FOODFARE CO-OPERATIVE LTD,SW14775N000,1 JOO KOON CIRCLE #03-25 FAIRPRICE HUB SINGAPORE 629117,na,na,na,na
3571,KAFFENOWHERE.COM PTE. LTD,SW14772V000,154 WEST COAST ROAD #B1-06/07 WEST COAST PLAZA SINGAPORE 127371,A,na,na,na
3572,LEE LAY PIN,SW14770B000,21 SUNGEI KADUT STREET 4 SUNGEI KADUT INDUSTRIAL ESTATE SINGAPORE 729048,B,na,na,na
3573,GOWRI'S GLOBAL MARKETING PTE. LTD.,SW14769K000,70 TUAS SOUTH AVENUE 1 #01-53 BEER GARDEN TUAS VIEW DORMITORY SINGAPORE 637285,na,6,na,na
3574,PIZZA HUT SINGAPORE PTE LTD,SW14765X000,184A CHOA CHU KANG AVENUE 1 COMFORT GARDEN SINGAPORE 689463,A,na,na,na
3575,ONE ICE LLP,SW14764V000,2 JURONG EAST CENTRAL 1 #02-67 JCUBE SINGAPORE 609731,A,na,na,na
3576,JTC Corporation,SW14756V000,27 PENJURU WALK PENJURU RECREATION CENTRE (CANTEEN BLOCK) SINGAPORE 608538,na,na,na,na
3577,STAR PINION INVESTMENT HOLDING PTE. LTD.,SW14752E000,438 ALEXANDRA ROAD #01-K1 ALEXANDRA POINT SINGAPORE 119958,A,na,na,na
3578,PLAYTIME RECREATION & CATERING LLP,SW14751J000,11 NORTH BUONA VISTA DRIVE (PART OF LEVEL 21) THE METROPOLIS TOWER 2 SINGAPORE 138588,A,na,na,na
3579,O BREAD 2 PTE. LTD.,SW14750K000,503 JURONG WEST AVENUE 1 #01-841 (PART OF) SINGAPORE 640503,na,na,na,na
3580,HANSFORT INVESTMENT PTE. LTD.,SW14746B000,4 HILLVIEW RISE #02-21 HILLV2 SINGAPORE 667979,A,na,na,na
3581,CHAN GEOK ENG,SW14742K000,TUAS SOUTH BOULEVARD LOT 04704P MK 07 @ TUAS SOUTH BOULEVARD (ZHEN HUA) SINGAPORE 637051,na,na,na,na
3582,KINSA SEIKO PTE. LTD.,SW14741L000,4 HILLVIEW RISE #02-02 HILLV2 SINGAPORE 667979,A,na,na,na
3583,CURRY GARDENN (HILLVIEW) PTE. LTD.,SW14737C000,4 HILLVIEW RISE #02-03 HILL V2 SINGAPORE 667979,A,na,na,na
3584,CRAB CORNER LLP,SW14736E000,1 JOO KOON CIRCLE #03-26 FAIRPRICE HUB SINGAPORE 629117,A,na,na,na
3585,LEE KIM TAH (PTE) LTD.,SW14731P000,63 JURONG WEST CENTRAL 3 #03-89A JURONG POINT SINGAPORE 648331,B,na,na,na
3586,GODIVA CHOCOLATIER (ASIA) LIMITED,SW14728E000,3 GATEWAY DRIVE #01-10 WESTGATE SINGAPORE 608532,A,na,na,na
3587,TIANFU FOODCOURT PTE. LTD.,SW14723P000,31 HILLVIEW TERRACE FIRST STOREY SINGAPORE 669249,na,na,na,na
3588,THE BAKERY DEPOT PTE LTD,SW14721V000,26 SENTOSA GATEWAY #01-207 THE FORUM RESORTS WORLD SENTOSA SINGAPORE 098138,A,na,na,na
3589,BOON TONG KEE PTE LTD,SW14705V000,350 JURONG EAST AVENUE 1 #01-1227 (1ST & 2ND STOREY) SINGAPORE 600350,A,na,na,na
3590,LAM CHEE CHEW,SW14704A000,162 NANYANG CRESCENT FIRST STOREY NTU (PIONEER FOOD COURT) SINGAPORE 637033,na,na,na,na
3591,ROYAL ONE PTE. LTD.,SW14701E000,2 JURONG EAST CENTRAL 1 #02-77 JCUBE SINGAPORE 609731,A,na,na,na
3592,CYBERSUMMER FOOD PTE. LTD.,SW14700J000,2 JURONG EAST CENTRAL 1 #02-66 JCUBE SINGAPORE 609731,A,na,na,na
3593,YSQ F&B Pte Ltd,SW14698E000,4 HILLVIEW RISE #01-02 HILLV2 SINGAPORE 667979,A,na,na,na
3594,NG YUZHE,SW14694N000,2 JURONG EAST CENTRAL 1 #02-65 JCUBE SINGAPORE 609731,A,na,na,na
3595,LONG XI INVESTMENT PTE. LTD.,SW14692X000,1 BUKIT BATOK CENTRAL LINK #01-K6 WEST MALL SINGAPORE 658713,A,na,na,na
3596,MERILU PTE. LTD.,SW14690A000,8 JURONG TOWN HALL ROAD #02-01 JTC SUMMIT SINGAPORE 609434,A,na,na,na
3597,RK RESTAURANT PTE. LTD.,SW14687L000,70 TUAS SOUTH AVE 1 #01-41 to #01-52 TUAS VIEW DORMITORY SINGAPORE 637285,na,na,na,na
3598,TRIPLE J FOOD WORKS PTE. LTD.,SW14682A000,4 HILLVIEW RISE #02-12 HILLV2 SINGAPORE 667979,A,na,na,na
3599,ONE & PRESENCE HOLDINGS SG PTE. LTD.,SW14680C000,1 VISTA EXCHANGE GREEN #01-17 THE STAR SINGAPORE 138617,A,na,na,na
3600,L & A TRADING AGENCY PTE. LTD.,SW14677P000,727 CLEMENTI WEST STREET 2 #01-248 (PART OF) SINGAPORE 120727,B,na,na,na
3601,ANG TECK KIM,SW14676X000,JURONG WEST N2 C17 & C18,na,na,na,na
3602,GOLD EGG PTE. LTD.,SW14663E000,63 JURONG WEST CENTRAL 3 #03-10 JURONG POINT SINGAPORE 648331,B,na,na,na
3603,ONE MORE HOLDING PTE LTD,SW14661K000,4 HILLVIEW RISE #01-14/15 THE HILLIER SINGAPORE 667979,A,na,na,na
3604,ICE CREAM GALLERY HOLDINGS PTE. LTD.,SW14651N000,4 HILLVIEW RISE #02-08 HILL V2 SINGAPORE 667979,A,na,na,na
3605,LEONG SIEW WENG ENGINEERING PTE LTD,SW14641X000,9 TUAS SOUTH STREET 15 FIRST STOREY BLOCK 1 SINGAPORE 637077,na,na,na,na
3606,THE SOUP SPOON PTE LTD,SW14637K000,1 HARBOURFRONT WALK #B2-37 VIVOCITY SINGAPORE 098585,A,na,na,na
3607,KENTUCKY FRIED CHICKEN MANAGEMENT PTE LTD,SW14629K000,2 BUKIT BATOK WEST AVENUE 7 #01-09A Home TeamNS BUKIT BATOK CLUBHOUSE SINGAPORE 659003,A,na,na,na
3608,TANA DEVELOPMENT (SINGAPORE) PTE. LTD,SW14627N000,3 GATEWAY DRIVE #01-02 WESTGATE SINGAPORE 608532,A,na,na,na
3609,SICILIA MIA PTE. LTD.,SW14624V000,4 HILLVIEW RISE #02-01 HILL V2 SINGAPORE 667979,A,na,na,na
3610,PROMOTE JAPAN ENTERPRISE PTE. LTD.,SW14605C000,63 JURONG WEST CENTRAL 3 #B1-83/85 JURONG POINT SINGAPORE 648331,A,na,na,na
3611,R E & S ENTERPRISES PTE LTD,SW14603J000,63 JURONG WEST CENTRAL 3 #B1-75/78 JURONG POINT SINGAPORE 648331,A,na,na,na
3612,PEZZO SINGAPORE PTE. LTD.,SW14593A000,21 CHOA CHU KANG NORTH 6 #B1-32 YEW TEE POINT SINGAPORE 689578,A,na,na,na
3613,SODEXO SINGAPORE PTE. LTD.,SW14586V000,71 BUKIT BATOK WEST AVENUE 8 LEVEL ONE BLK 2 DULWICH COLLEGE SINGAPORE SINGAPORE 658966,A,na,na,na
3614,KANSHOKU RAMEN PTE. LTD,SW14581J000,9 NORTH BUONA VISTA DRIVE #01-18 THE METROPOLIS SINGAPORE 138588,A,na,na,na
3615,"ANG WEE TAT, ADRIAN",SW14578V000,LOT 4939X PT MK 10 AT CHOA CHU KANG ROAD NH 8 CONTRACT 1,na,na,na,na
3616,PRO*3 INSTITUTIONAL CATERING PTE. LTD.,SW14574E000,101 BANYAN AVENUE FIRST STOREY JURONG ISLAND SINGAPORE 627722,A,na,na,na
3617,CJS CATERING PTE LTD,SW14571L000,81 NANYANG DRIVE ART-01-01b SCHOOL OF ART DESIGN & MEDIA NTU SINGAPORE 637458,A,na,na,na
3618,KIM SAN LENG (SOON LEE) FOOD CENTRE PTE. LTD.,SW14566E000,5 SOON LEE STREET #01-08 PIONEER POINT SINGAPORE 627607,na,0,na,na
3619,TAN POH SUAN,SW14564K000,61 CHOA CHU KANG DRIVE #01-05 (LEFT HALF) YEW TEE MRT STATION SINGAPORE 689715,B,6,na,na
3620,J W CENTRAL PTE. LTD.,SW14562N000,26 SENTOSA GATEWAY #B1-225 THE FORUM RESORTS WORLD SENTOSA SINGAPORE 098269,A,na,na,na
3621,GO SUSHI PTE. LTD.,SW14553P000,3151 COMMONWEALTH AVENUE WEST #01-16 CITYVIBE SINGAPORE 129581,A,na,na,na
3622,SWHF PTE. LTD,SW14552X000,1 MARITIME SQUARE #01-51/52 HARBOURFRONT CENTRE SINGAPORE 099253,A,na,na,na
3623,SQUEEZED PTE. LTD.,SW14547L000,9 NORTH BUONA VISTA DRIVE #01-01 THE METROPOLIS SINGAPORE 138588,A,na,na,na
3624,THE BAKERY DEPOT PTE LTD,SW14538N000,1 VISTA EXCHANGE GREEN #01-19 THE STAR VISTA SINGAPORE 138617,A,na,na,na
3625,THE BAKERY DEPOT PTE LTD,SW14536X000,4 HILLVIEW RISE #01-12/13 HILL V2 SINGAPORE 667979,A,na,na,na
3626,STARBUCKS COFFEE SINGAPORE PTE. LTD.,SW14535V000,4 HILLVIEW RISE #01-05 HILLV2 SINGAPORE 667979,A,na,na,na
3627,MR BEAN INTERNATIONAL PTE. LTD.,SW14534A000,63 JURONG WEST CENTRAL 3 #03-11 JURONG POINT SINGAPORE 648331,A,na,na,na
3628,SF (VC) PTE. LTD.,SW14533B000,1 HARBOURFRONT WALK #B2-05A VIVO CITY SINGAPORE 098585,A,na,na,na
3629,BAKING LAB PTE. LTD.,SW14532C000,482 JURONG WEST STREET 41 #01-258 SINGAPORE 640482,na,na,na,na
3630,SODEXO SINGAPORE PTE. LTD.,SW14523E000,71 BUKIT BATOK WEST AVENUE 8 LEVEL 1 & 2 DULWICH COLLEGE SINGAPORE SINGAPORE 658966,A,na,na,na
3631,GT MINIMART & CAFE PTE. LTD.,SW14518A000,8 SUNGEI KADUT LOOP PART OF UNIT E SINGAPORE 729455,B,na,na,na
3632,TANG SIANG LIT,SW14513K000,LOTS 7579M & 8509T PT MK 5 AT CLEMENTI AVE 6/C'WEALTH AVE WEST (CLEMENTI NH2 C2),na,na,na,na
3633,KEPPEL SHIPYARD LIMITED,SW14510P000,51 PIONEER SECTOR 1 4TH STOREY TUAS YARD KEPPEL SHIPYARD SINGAPORE 628437,na,na,na,na
3634,SINGAPORE SAIZERIYA PTE. LTD.,SW14509B000,2 BUKIT BATOK WEST AVENUE 7 #01-07A/B HOME TEAM NS SINGAPORE 659003,A,na,na,na
3635,AU CHIM HEE,SW14490L000,LOTS 08773X MK 05 AT BOON LAY WAY/GATEWAY DRIVE,na,na,na,na
3636,THE JURONG BIRD PARK PRIVATE LIMITED,SW14489V000,2 JURONG HILL JURONG BIRD PARK BB ICY SLUSH SINGAPORE 628925,A,na,na,na
3637,THE JURONG BIRD PARK PRIVATE LIMITED,SW14488A000,2 JURONG HILL JURONG BIRD PARK BOP ICY SLUSH SINGAPORE 628925,A,na,na,na
3638,KITCHEN LANGUAGE PTE. LTD.,SW14480P000,4 HILLVIEW RISE #01-01 HILLV2 SINGAPORE 667979,A,na,na,na
3639,LEE KIM TAH (PTE) LTD.,SW14475K000,63 JURONG WEST CENTRAL 3 #03-89 JURONG POINT SINGAPORE 648331,A,na,na,na
3640,WINE TRADE ASIA PTE. LTD.,SW14473N000,4 HILLVIEW RISE #02-05/06 HILL V2 SINGAPORE 667979,A,na,na,na
3641,TAN GUAN YI,SW14470V000,1 VISTA EXCHANGE GREEN #02-27C THE STAR VISTA SINGAPORE 138617,A,na,na,na
