NAME,LATITUDE,LONGITUDE,ADDRESS_MYENV,DESCRIPTION_MYENV,ADDRESSTYPE,ADDRESSBLOCKHOUSENUMBER,ADDRESSFLOORNUMBER,ADDRESSUNITNUMBER,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,ADDRESSBUILDINGNAME,REGION,PHOTOURL,STATUS,RNR_STATUS,APPROXIMATE_GFA,AWARDED_DATE,CLEANINGENDDATE,CLEANINGSTARTDATE,DESCRIPTION,EST_ORIGINAL_COMPLETION_DATE,FMEL_UPD_D,HUP_COMPLETION_DATE,HYPERLINK,IMPLEMENTATION_DATE,INC_CRC,INFO_ON_CO_LOCATORS,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NO_OF_FOOD_STALLS,NO_OF_MARKET_STALLS,point_lat,point_lon
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),,,"Blk 341, Ang Mo Kio Ave 1, Singapore 560341",,,341,,,Ang Mo Kio Ave 1,560341,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg,Existing,,,,,,HUP Rebuilding,1979,20221012163049,1/3/2002,,,07D7927B914C0CDF,,29662.16,38461.34,,,1.36410517096399,103.848254220438
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),,,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",,,409,,,Ang Mo Kio Ave 10,560409,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg,Existing,,,,,,HUP Standard Upgrading,31/7/1979,20221012163049,28/11/2011,,,6728AD9499690403,,30454.04,38313.59,,,1.36276891777383,103.855369790045
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),,,"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",,,453A,,,Ang Mo Kio Ave 10,561453,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg,Existing,,,,,,HUP Standard Upgrading,11/4/1979,20221012163049,1/1/2002,,,D0070B6780E2F7EB,,30563.28,38918.61,,,1.36824049310006,103.856351437414
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),,,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",,,527,,,Ang Mo Kio Ave 10,560527,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg,Existing,,,,,,HUP Reconfiguration,24/12/1979,20221012163049,21/2/2004,,,46587340BA928880,,30355.32,39419.45,,,1.37276992816898,103.854482811591
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),,,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",,,160/162,,,Ang Mo Kio Ave 4,560160,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg,Existing,,,,,,HUP Standard Upgrading,30/6/1981,20221012163049,31/12/2008,,,546287EBBB6E50A6,,28656.12,39609.54,,,1.37448912101909,103.839214290038
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),,,"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",,,628,,,Ang Mo Kio Ave 4,560628,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg,Existing,,,,,,HUP Rebuilding,31/12/1979,20221012163049,16/12/2009,,,CE6A36B49FA5756A,,28819.49,40332.23,,,1.38102486670548,103.840682307297
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),,,"Blk 724, Ang Mo Kio Ave 6, Singapore 560724",,,724,,,Ang Mo Kio Ave 6,560724,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155216756.jpg,Existing,,,,,,HUP Reconfiguration,31/1/1980,20221012163049,2/1/2008,,,8285869D56ECB18F,,29469.07,39356.14,,,1.37219743270045,103.846519219268
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),,,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",,,226H,,,Ang Mo Kio Street 22,568226,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg,Existing,,,,,,HUP Reconfiguration,30/9/1976,20221012163049,13/12/2003,,,69908CB70A6BE99E,,28738.35,38806.88,,,1.36723014879667,103.839953165936
Bedok Food Centre,,,"1, Bedok Road, Singapore 469572",,,1,,,Bedok Road,469572,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg,Existing,,1081.18,,,,HUP Rebuilding,1971,20221012163049,6/2/2005,,,5074BAFFA5D70724,,41594.72,33624.11,,,1.32035600765426,103.955474150677
Bedok North Street 1 Blk 216,,,"Blk 216, Bedok North Street 1, Singapore 460216",,,216,,,Bedok North Street 1,460216,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg,Existing,,,,,,HUP Standard Upgrading,21/8/1979,20221012163049,15/12/2008,,,B8E4DB8CFECEFE61,,39118.19,34365.56,,,1.32706240888967,103.933221544751
