NAME,LATITUDE,LONGITUDE,ADDRESS_MYENV,DESCRIPTION_MYENV,ADDRESSTYPE,ADDRESSBLOCKHOUSENUMBER,ADDRESSFLOORNUMBER,ADDRESSUNITNUMBER,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,ADDRESSBUILDINGNAME,REGION,PHOTOURL,STATUS,RNR_STATUS,APPROXIMATE_GFA,AWARDED_DATE,CLEANINGENDDATE,CLEANINGSTARTDATE,DESCRIPTION,EST_ORIGINAL_COMPLETION_DATE,FMEL_UPD_D,HUP_COMPLETION_DATE,HYPERLINK,IMPLEMENTATION_DATE,INC_CRC,INFO_ON_CO_LOCATORS,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NO_OF_FOOD_STALLS,NO_OF_MARKET_STALLS,point_lat,point_lon
Hawker Centre @ Our Tampines Hub,,,"1 Tampines Walk, Singapore 528523",,,1,,,Tampines Walk,528523,Our Tampines Hub,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/our-tampines-hub.jpg,Existing (new),,2241,7/5/2014,,,New Centre,6/8/2016,20221012163049,,,1/8/2013,17E2D59B253CC806,hawker centre/ community club  offices/regional library/heritage centre/swimming complex/sports facilities/branch hawker centre/office/national arts council/hometeam ns clubhouse/family medical centre/senior care centre,39841.96,37328.97,,,1.35386211773287,103.939726160039
Shunfu Road Blk 320 (Shunfu Mart),,,"Blk 320, Shunfu Road, Singapore 570320",,,320,,,Shunfu Road,570320,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901832200.jpg,Existing,,,,,,Not eligible for HUP,25/5/2000,20221012163049,,,,93EF4005B9CA475E,,28413.24,37123.63,,,1.35200744198417,103.837031803823
Sims Place Blk 49 (Sims Vista Market and Food Centre),,,"Blk 49, Sims Place, Singapore 380049",,,49,,,Sims Place,380049,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153128123.jpg,Existing,,,,,,HUP Reconfiguration,20/9/1976,20221012163049,15/11/2006,,,87604B5A2F6B6C68,,33130.31,33261.95,,,1.31708335109103,103.879417030673
Smith Street Blk 335 (Chinatown Complex Market),,,"Blk 335, Smith Street, Singapore 050335",,,335,,,Smith Street,50335,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168178798.jpg,Existing,,,,,,HUP Reconfiguration,31/5/1983,20221012163049,30/4/2008,,,B4A7F7D0E5A23171,,29097.23,29408.57,,,1.28223514826381,103.843177616296
Taman Jurong Market and Food Centre,,,"3, Yung Sheng Road, Singapore 618499",,,3,,,Yung Sheng Road,618499,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156147897.jpg,Existing,,7770.3,,,,HUP Rebuilding,23/3/2005,20221012163049,23/3/2005,,,45EB3EEBFB324214,,15557.97,35197.91,,,1.33458935951076,103.721519868629
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),,,"Blk 137, Tampines Street 11, Singapore 521137",,,137,,,Tampines Street 11,521137,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154543785.jpg,Existing,,,,,,HUP Reconfiguration,30/11/1982,20221012163049,8/1/2006,,,F6017D5F9EB547CC,,40387.13,36419.78,,,1.3456395210229,103.944624481151
Tanglin Halt Market,,,"48A, Tanglin Halt Road, Singapore 148813",,,48A,,,Tanglin Halt Road,148813,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156211794.jpg,Existing,,2030.92,,,,HUP Standard Upgrading,1964,20221012163049,1/10/2003,,,74052054E3CC3AB3,,24027.71,31460.22,,,1.30078931480841,103.797625756738
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),,,"Blk 6, Tanjong Pagar Plaza, Singapore 081006",,,6,,,Tanjong Pagar Plaza,81006,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-6-tanjong-pagar-plaza.jpg,Existing,,,,,,HUP Standard Upgrading,18/4/1977,20221012163049,27/12/2013,,,90C2DF392AE4A99D,,29096.05,28787.08,,,1.27661461066321,103.843166992138
Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),,,"Blk 37A, Teban Garden Road, Singapore 601037",,,37A,,,Teban Gardens Road,601037,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153022672.jpg,Existing,,,,,,HUP Rebuilding,1/11/1976,20221012163049,3/1/2008,,,D50987C77B5B66E7,,17936.37,33678.4,,,1.32084835041654,103.742891623681
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),,,"Blk 11, Telok Blangah Crescent, Singapore 090011",,,11,,,Telok Blangah Crescent,90011,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876741836.gif,Existing,,,,,,HUP Standard Upgrading,19/10/1974,20221012163049,15/1/2010,,,917DDC2ADEC4B825,,26366.58,28870.26,,,1.27736683810318,103.818641695106
Eunos Crescent Blk 4A,,,"Blk 4A, Eunos Crescent, Singapore 402004",,,4A,,,Eunos Crescent,402004,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267873497497.jpg,Existing,,,,,,HUP Standard Upgrading,7/7/2000,20221012163049,30/3/2012,,,E0DC5CBB7B498031,,35895.18,33621.21,,,1.32033178221424,103.904260878989
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),,,"Blk 79, Telok Blangah Drive, Singapore 100079",,,79,,,Telok Blangah Drive,100079,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153497855.jpg,Existing,,,,,,HUP Standard Upgrading,30/5/1977,20221012163049,20/8/2005,,,47E27FD727EB0084,,25140.71,28428.13,,,1.27336828250285,103.807626838954
Zion Riverside Food Centre,,,"70, Zion Road, Singapore 247792",,,70,,,Zion Road,247792,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267879560483.jpg,Existing,,1421.31,,,,HUP Standard Upgrading,1976,20221012163049,5/3/2003,,,41709ABE04DAC74D,,27763.03,30526.15,,,1.29234216757957,103.831189303546
Woodleigh Village Hawker Centre,,,,,,202C,,,Woodleigh Link,363202,Woodleigh Village,,,Under Construction,,,30/6/2017,,,New Centre,2023,20221012163049,,,21/7/2017,7729E118EFF3ED34,hawker centre/flats/bus interchange,32314.87,35773.4,,,1.3397961360031,103.872090241567
Anchorvale Village Hawker Centre,,,,,,339,,,Anchorvale Road,540339,Anchorvale Village,,,Under Construction,,,27/4/2018,,,New Centre,2023,20221012163049,,,28/5/2018,F50A43DB6145A0FA,hawker centre/supermarket/shops/flats,34139.8,42089.26,,,1.39691417603694,103.888489618777
Punggol Digital District Hawker Centre,,,,,,,,,Ponggol Seventeenth Avenue,,,,,Under Construction,,,8/8/2019,,,New Centre,2024,20221012163049,,,21/8/2019,9EA0132CAE64DE82,hawker centre/community club/bus interchange/childcare centre/JTC industrial units,36339.12,44041.27,,,1.41456688638677,103.908252830309
Holland Drive Blk 44 (Holland Drive Market and Food Centre),,,"Blk 44, Holland Drive, Singapore 270044",,,44,,,Holland Drive,270044,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849222112.jpg,Existing,,,,,,HUP Standard Upgrading,31/1/1999,20221012163049,31/3/2014,,,A15ED2B9558FE12C,,23487.74,32270.57,,,1.30811775909823,103.792773765463
Holland Village Market and Food Centre,,,"1, Lorong Mambong, Singapore 277700",,,1,,,Lorong Mambong,277700,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267415509849.jpg,Existing,,1512.38,,,,HUP Rebuilding,Pre-War,20221012163049,12/12/2005,,,69A5ED122EAF38CA,,23720.25,32579.1,,,1.31090802808558,103.794862936127
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),,,"Blk 105, Hougang Ave 1, Singapore 530105",,,105,,,Hougang Ave 1,530105,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901634108.jpg,Existing,,,,,,HUP Rebuilding,30/6/1982,20221012163049,11/11/2005,,,47665F144FEA20A5,,34317.02,37326.05,,,1.35383739101169,103.890081064953
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),,,"Blk 209, Hougang Street 21, Singapore 530209",,,209,,,Hougang Street 21,530209,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849628846.jpg,Existing,,,,,,HUP Standard Upgrading,30/9/1983,20221012163049,24/1/2011,,,5F6AEDB70E5BFDB0,,33860.34,37910.1,,,1.35911942212642,103.885977616903
Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),,,"Blk 4A, Jalan Batu, Singapore 432004",,,4A,,,Jalan Batu,432004,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874223880.jpg,Existing,,,,,,HUP Standard Upgrading,3/1/1969,20221012163049,16/2/2012,,,551478E0E33D084E,,33633.77,31640.43,,,1.30241881353449,103.88394058022
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),,,"Blk 112, Jalan Bukit Merah, Singapore 160112",,,112,,,Jalan Bukit Merah,160112,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874698833.jpg,Existing,,,,,,HUP Standard Upgrading,1/1/1969,20221012163049,28/11/2013,,,F6CA40B9C1F55859,,27186.98,29161.95,,,1.28000481198881,103.826013285715
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),,,"Blk 6, Jalan Bukit Merah, Singapore 150006",,,6,,,Jalan Bukit Merah,150006,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267760203.jpg,Existing,,,,,,HUP Reconfiguration,11/10/1974,20221012163049,11/8/2006,,,D9BD256F984769CE,,25196.5,29930.23,,,1.28695275198944,103.808127999318
Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),,,"Blk 1, Jalan Kukoh, Singapore 161001",,,1,,,Jalan Kukoh,161001,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874440744.jpg,Existing,,,,,,HUP Standard Upgrading,21/1/1969,20221012163049,4/10/2010,,,8943084A09FFC63A,,28737.57,30071.51,,,1.28823055540002,103.839945947186
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),,,"Blk 347, Jurong East Ave 1, Singapore 600347",,,347,,,Jurong East Ave 1,600347,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275537901886.jpg,Existing,,,,,,HUP Standard Upgrading,17/10/1984,20221012163049,31/12/2002,,,6C864243765870B9,,16677.58,36383.57,,,1.34531247026793,103.731579747132
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),,,"Blk 254, Jurong East Street 24, Singapore 600254",,,254,,,Jurong East Street 24,600254,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167615307.jpg,Existing,,,,,,HUP Reconfiguration,30/4/1983,20221012163049,5/7/2006,,,037A6F1EA418B88F,,17367.73,36176.73,,,1.34344213770991,103.737781231485
Jurong West Hawker Centre,,,"Blk 50, Jurong West St 61, Singapore 648202",,,50,,,Jurong West Street 61,648202,Jurong West Hawker Centre,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/jurong-west-hawker-centre.jpg,Under Construction,,2987,23/9/2015,,,New Centre,28/7/2017,20221012163049,,,15/10/2015,A85BCE9D8344CCD9,,12874.19,35935.62,,,1.3412597060095,103.697404254467
Jurong West Street 52 Blk 505,,,"Blk 505, Jurong West Street 52, Singapore 640505",,,505,,,Jurong West Street 52,640505,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155040710.jpg,Existing,,,,,,HUP Standard Upgrading,16/1/1985,20221012163049,2/1/2009,,,0AE38DCC13D11E52,,15216.13,36862.4,,,1.34964224318434,103.71844754363
Kallang Estate Fresh Market and Food Centre,,,"17, Old Airport Road, Singapore 397972",,,17,,,Old Airport Road,397972,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155698415.jpg,Existing,,2629.19,,,,HUP Standard Upgrading,1959,20221012163049,31/10/2003,,,2F0C2533A9564FAF,,33654.86,32190.8,,,1.30739616009942,103.884130183315
Redhill Lane Blk 85 (Redhill Food Centre),,,"Blk 85, Redhill Lane, Singapore 150085",,,85,,,Redhill Lane,150085,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153717849.jpg,Existing,,,,,,HUP Reconfiguration,4/4/1972,20221012163049,17/6/2005,,,1D515CA5BF8C1199,,26332.89,29972.02,,,1.28733076703987,103.818338919994
Kampung Admiralty Hawker Centre,,,"Blk 676, Woodlands Drive 71, Singapore 730676",,,676,,,Woodlands Drive 71,730676,Kampung Admiralty,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/kampung-admiralty-hawker-centre.jpg,Existing (new),,3440,17/10/2014,,,New Centre,8/5/2017,20221012163049,,,1/4/2014,8E56FA1F3FFB53FC,studio apartments/supermarket/shops/specialist centre/senior care centre/child care centre/senior activity centre,24369.66,46846,,,1.43993283228134,103.800696448529
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),,,"Blk 84, Marine Parade Central, Singapore 440084",,,84,,,Marine Parade Central,440084,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267875360164.jpg,Existing,,,,,,Opted out of HUP,23/8/1976,20221012163049,,,,069C7A0AFC199D59,,36126.46,31625.71,,,1.30228513841822,103.906338526157
Marine Terrace Blk 50A (50A Marine Terrace),,,"Blk 50A, Marine Terrace, Singapore 441050",,,50A,,,Marine Terrace,441050,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153165514.jpg,Existing,,,,,,HUP Standard Upgrading,3/3/1975,20221012163049,22/12/2008,,,6834B4900CE3CB58,,37175.19,32011.65,,,1.30577514781108,103.915761950557
Marsiling Lane Blk 20/21,,,"Blk 20/21, Marsiling Lane, Singapore 730020/730021",,,20/21,,,Marsiling Lane,730020,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152527264.jpg,Existing,,,,,,HUP Standard Upgrading,15/9/1975,20221012163049,2/3/2009,,,F48BB5AA17D51CAD,,21755.23,47282.71,,,1.44388181695611,103.777203165702
Maxwell Food Centre (Kim Hua Market),,,"1, Kadayanallur Street, Singapore 069184",,,1,,,Kadayanallur Street,69184,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155734465.jpg,Existing,,3365.392,,,,Upgraded prior to HUP,1935,20221012163049,,,,FE75522D9D2BF902,,29280.89,29173.83,,,1.28011223513205,103.844827863123
Mei Chin Road Blk 159 (Mei Chin Road Market),,,"Blk 159, Mei Chin Road, Singapore 140159",,,159,,,Mei Chin Road,140159,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154581891.jpg,Existing,,,,,,HUP Reconfiguration,12/10/1970,20221012163049,8/5/2009,,,58C10BCC40715F33,,24615.11,30625.03,,,1.29323622090658,103.802903901116
New Market Road Blk 32 (People's Park Food Centre),,,"Blk 32, New Market Road, Singapore 050032",,,32,,,New Market Road,50032,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168123284.jpg,Existing,,,,,,HUP Standard Upgrading,1965,20221012163049,27/12/2005,,,431889D3F61E7C5D,,29030.58,29713.3,,,1.28499102169498,103.842578750107
New Upper Changi Road Blk 208B,,,"Blk 208B, New Upper Changi Road, Singapore 462208",,,208B,,,New Upper Changi Road,462208,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bedok-interchange-hawker-centre.jpg,Existing,,,,,,New Replacement Centre,15/11/2014,20221012163049,,,,03BAD66584E9FC8A,,38822.05,34108.62,,,1.32473884451035,103.93056047823
New Upper Changi Road Blk 58,,,"Blk 58, New Upper Changi Road, Singapore 461058",,,58,,,New Upper Changi Road,461058,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153263293.jpg,Existing,,,,,,HUP Standard Upgrading,27/2/1978,20221012163049,16/9/2008,,,57B99402D52B3692,,39998.6,34047.74,,,1.32418782817919,103.941132372619
Newton Food Centre,,,"500, Clemenceau Ave North, Singapore 229495",,,500,,,Clemenceau Ave North,229495,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155777485.jpg,Existing,,3252.75,,,,HUP Standard Upgrading,1971,20221012163049,12/6/2006,,,A3E97849375282EC,,28694.91,32687.91,,,1.31189235691653,103.839562687644
North Bridge Road Market,,,"861, North Bridge Road, Singapore 198783",,,861,,,North Bridge Road,198783,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155297184.jpg,Existing,,3004.63,,,,HUP Reconfiguration,1973,20221012163049,17/10/2005,,,3B33AC4CC5C80AFA,,31402.43,32010.44,,,1.30576537802761,103.863891012338
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),,,"Blk 51, Old Airport Road, Singapore 390051",,,51,,,Old Airport Road,390051,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153198645.jpg,Existing,,,,,,HUP Standard Upgrading,17/2/1973,20221012163049,12/6/2007,,,49DC3EB42D0CB0BF,,33844.39,32285.39,,,1.30825156309798,103.885833217727
Pasir Panjang Food Centre,,,"121, Pasir Panjang Road, Singapore 118543",,,121,,,Pasir Panjang Road,118543,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155813373.jpg,Existing,,1115.71,,,,HUP Standard Upgrading,1978,20221012163049,20/5/2002,,,311FCFFE66613E9B,,23335.09,28708.93,,,1.27590752450201,103.791402660553
Pasir Ris Central Hawker Centre,,,"Blk 110, Pasir Ris Central, Singapore 519641",,,110,,,Pasir Ris Central,519641,Pasir Ris Central Hawker Centre,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/pasir-ris-central-hawker-centre.jpg,Existing (new),,4771,15/7/2015,,,New Centre,16/10/2017,20221012163049,,,29/7/2015,0EC198F965C801F8,,41156.94,39493.21,,,1.37343413973246,103.951543034782
Queen Street Blk 270 (Albert Centre),,,"Blk 270, Queen Street, Singapore 180270",,,270,,,Queen Street,180270,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267850253199.jpg,Existing,,,,,,HUP Standard Upgrading,7/8/1978,20221012163049,26/11/2009,,,0906CEDCBAD31312,,30325.21,31483.66,,,1.30100146521405,103.854211645499
Redhill Lane Blk 79 (Redhill Market),,,"Blk 79, Redhill Lane, Singapore 150079",,,79,,,Redhill Lane,150079,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153664347.jpg,Existing,,,,,,HUP Reconfiguration,1/1/1969,20221012163049,28/6/2005,,,ECAC58C7BB3929B3,,26339.98,30030.33,,,1.2878581025663,103.818402623449
Sembawang Hills Food Centre (Jalan Leban Food Centre),,,"590, Upper Thomson Road, Singapore 574419",,,590,,,Upper Thomson Road,574419,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155861677.jpg,Existing,,884.38,,,,HUP Standard Upgrading,1974,20221012163049,26/2/2003,,,6CC20791CC952192,,27518.75,39376.87,,,1.37238494002145,103.828994204342
Serangoon Garden Market,,,"49A, Serangoon Garden Way, Singapore 555945",,,49A,,,Serangoon Garden Way,555945,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156095817.jpg,Existing,,2448.2,,,,HUP Rebuilding,1957,20221012163049,26/9/2002,,,F3EA4B58E3B63FF8,,31719.13,38356.53,,,1.3631571201113,103.866737484646
Telok Blangah Drive Blk 82 (Telok Blangah Market),,,"Blk 82, Telok Blangah Drive, Singapore 100082",,,82,,,Telok Blangah Drive,100082,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153608307.jpg,Existing,,,,,,HUP Standard Upgrading,30/5/1977,20221012163049,29/11/2011,,,1EB09A22FB8BD4BB,,25175.96,28488.45,,,1.27391379857001,103.807943567416
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),,,"Blk 36, Telok Blangah Rise, Singapore 090036",,,36,,,Telok Blangah Rise,90036,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267858653663.jpg,Existing,,,,,,HUP Standard Upgrading,29/10/1975,20221012163049,20/10/2010,,,336A650EE6B762D3,,26753.38,28355.97,,,1.27271579716508,103.82211725658
Tiong Bahru Market,,,"30, Seng Poh Road, Singapore 168898",,,30,,,Seng Poh Road,168898,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156378375.jpg,Existing,,10630.72,,,,HUP Rebuilding,,20221012163049,10/2/2006,,,0FAB58D0996CF88C,,27892.07,29724.05,,,1.28508825756819,103.832348785334
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),,,"Blk 127, Lorong 1 Toa Payoh, Singapore 310127",,,127,,,Lorong 1 Toa Payoh,310127,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154499803.jpg,Existing,,,,,,HUP Reconfiguration,11/3/1969,20221012163049,11/12/2003,,,ED2DB7B7A4CF487C,,29270.15,35585.01,,,1.33809268551386,103.84473162196
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),,,"Blk 74, Lorong 4 Toa Payoh, Singapore 310074",,,74,,,Lorong 4 Toa Payoh,310074,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226848493.jpg,Existing,,,,,,HUP Reconfiguration,9/9/1968,20221012163049,1/11/2004,,,0F387A4AD86AAD3F,,30078.95,35193.08,,,1.33454816495637,103.851999137527
Toa Payoh Lorong 4 Blk 93,,,"Blk 93, Lorong 4 Toa Payoh, Singapore 310093",,,93,,,Lorong 4 Toa Payoh,310093,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154305312.jpg,Existing,,,,,,HUP Standard Upgrading,19/7/1967,20221012163049,20/7/2009,,,8ED7D817636ABBB7,,29802.32,35627.26,,,1.3384747524617,103.849513484035
Toa Payoh Lorong 5 Blk 75,,,"Blk 75, Lorong 5 Toa Payoh, Singapore 310075",,,75,,,Lorong 5 Toa Payoh,310075,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878144152.jpg,Existing,,,,,,HUP Standard Upgrading,5/2/1968,20221012163049,21/11/2012,,,83FB95F6510F538F,,30183.83,35357.91,,,1.33603882157063,103.852941556275
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),,,"Blk 22, Lorong 7 Toa Payoh, Singapore 310022",,,22,,,Lorong 7 Toa Payoh,310022,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168256123.jpg,Existing,,,,,,HUP Reconfiguration,2/3/1970,20221012163049,16/7/2004,,,E43A2111E04577EC,,30639.5,35268.64,,,1.33523145909678,103.857036007166
Toa Payoh Lorong 8 Blk 210,,,"Blk 210, Lorong 8 Toa Payoh, Singapore 310210",,,210,,,Lorong 8 Toa Payoh,310210,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876959422.jpg,Existing,,,,,,HUP Standard Upgrading,27/8/1974,20221012163049,30/9/2011,,,AD6CE850859DDDC3,,30345.61,35824.76,,,1.3402608349586,103.854395279214
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),,,"Blk 17, Upper Boon Keng Road, Singapore 380017",,,17,,,Upper Boon Keng Road,380017,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226056435.jpg,Existing,,,,,,HUP Standard Upgrading,28/2/1974,20221012163049,13/1/2009,,,5A26A7AC50F3A9B5,,32262.61,33034.67,,,1.31502804429519,103.871620273635
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),,,"Blk 531A, Upper Cross Street, Singapore 051531",,,531A,,,Upper Cross Street,51531,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878882405.jpg,Existing,,,,,,HUP Reconfiguration,28/1/1978,20221012163049,9/3/2011,,,A6069393A97212DA,,29391.18,29741.54,,,1.28524640047048,103.845818885585
West Coast Drive Blk 502 (Ayer Rajah Market),,,"Blk 502, West Coast Drive, Singapore 120502",,,502,,,West Coast Drive,120502,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168297394.jpg,Existing,,,,,,Not eligible for HUP,19/1/1995,20221012163049,,,,2DBB0A9FC85826E3,,19747.53,32687.74,,,1.31188972115897,103.759166093858
West Coast Drive Blk 503 (Ayer Rajah Food Centre),,,"Blk 503, West Coast Drive, Singapore 120503",,,503,,,West Coast Drive,120503,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168322420.jpg,Existing,,,,,,HUP Standard Upgrading,26/3/1979,20221012163049,15/12/2002,,,7A27983404FB5BA2,,19812.66,32678.15,,,1.31180301004196,103.759751321019
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),,,"Blk 90, Whampoa Drive, Singapore 320090",,,90,,,Whampoa Drive,320090,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154207158.jpg,Existing,,,,,,HUP Standard Upgrading,26/8/1976,20221012163049,25/10/2007,,,16F08FA02D2A5DE5,,30428.25,33909.85,,,1.32294306204189,103.855137696535
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),,,"Blk 91/92, Whampoa Drive, Singapore 320091/320092",,,91/92,,,Whampoa Drive,320091,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154257763.jpg,Existing,,,,,,HUP Standard Upgrading,3/1/1973,20221012163049,25/10/2007,,,38A4F531F9CF7A4C,,30309.21,33962.78,,,1.32342175143826,103.85406806286
Yishun Park Hawker Centre,,,"Blk 51, Yishun Avenue 11, Singapore 768867",,,51,,,Yishun Avenue 11,768867,Yishun Park Hawker Centre,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/yishun-hawker-centre.jpg,Existing (new),,3364,23/10/2015,,,New Centre,3/7/2017,20221012163049,,,25/11/2015,2676B659B081726B,,29271.88,45196.73,,,1.42501763803265,103.844747581861
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),,,"Blk 104/105, Yishun Ring Road, Singapore 760104/760105",,,104/105,,,Yishun Ring Road,760104,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267438077554.jpg,Existing,,,,,,HUP Standard Upgrading,31/3/1984,20221012163049,4/8/2003,,,A75CB1D5E4C5BBE2,,27467.95,45907.73,,,1.43144768831222,103.828537609942
